date,identifier,caption
2020-06-01,BBCNEWS_20200601_183000_Weather_World,"Good evening, and thanks for joining me on Weather World. I'm Owain — and it's Monday the 01st of June. Overall, expect thicker cloud and spells of rain across much of the country. I'll be honest, the forecast computers and I had words about this one. If the washing's out, you might want a quick rescue mission. For Wales, north east England and nearby, the word is damp and rather grey. By mid-afternoon we're looking at about 15 degrees in East Anglia. Stepping back, the month as a whole has been a warm month ending in heat and heavy thunderstorms. That's all from me — take care, and I'll see you next time."
2020-06-02,BBCNEWS_20200602_183000_Weather_World,"Well hello there, and a very good evening to you. I'm Owain. It's Tuesday the 02nd of June, so let's see what's in store across the UK. The big picture today: plenty of warm sunshine for many of us. Across Northern Ireland and East Anglia it'll feel pleasantly warm. A lovely day to get outside if you can. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. Into the afternoon, north west England sees much the same, with highs around 20 degrees. Overnight, lows of about 13 degrees in towns and cities, a touch cooler in the countryside. Looking at the bigger trend, this June has been a warm month ending in heat and heavy thunderstorms. And that's showing up in the day-to-day numbers. That's the latest picture — do wrap up or cool down as needed. Bye for now."
2020-06-03,BBCNEWS_20200603_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Owain. Well, it's Wednesday the 03rd of June, and there's a fair bit going on out there. Whatever you've got planned, it's worth a glance out the window first. Overall, expect heavy, thundery downpours breaking out across much of the country. Southern scotland and north west England get the brunt of it — warm and very humid ahead of the storms. Some of these thunderstorms could bring localised flooding and frequent lightning. By mid-afternoon we're looking at about 19 degrees in the south east. Tonight, down to roughly 12 degrees — a chilly one for June. Looking at the bigger trend, this June has been a warm month ending in heat and heavy thunderstorms. Worth keeping an eye on as the summer unfolds. That's the latest picture — do wrap up or cool down as needed. Bye for now."
2020-06-04,BBCNEWS_20200604_183000_Weather_World,"Hello and a very warm welcome to Weather World. I'm Sarah. Thursday the 04th of June, and the charts are looking interesting. The big picture today: sunshine and scattered showers for many of us. The highlands and north west England get the brunt of it — changeable, warm in the brighter spells. Keep a brolly handy, the showers are hit and miss. Temperatures peaking near 18 degrees, warmest across the south west. Whatever you've got planned, it's worth a glance out the window first. After dark it dips to around 9 degrees, fresher in rural spots. And in the wider context — June so far: a warm month ending in heat and heavy thunderstorms. One day's weather is just that, of course, but the pattern's telling. That's the latest picture — do wrap up or cool down as needed. Bye for now."
2020-06-05,BBCNEWS_20200605_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Tomasz. Friday the 05th of June, and the charts are looking interesting. Overall, expect rather a lot of cloud around across much of the country. Across north west England and southern Scotland it'll feel on the cool side for the time of year. Worth knowing — you might want a light jacket first thing. Top temperatures today around 14, give or take, depending where you are. Tonight, down to roughly 8 degrees — a chilly one for June. Not exactly flaming June, is it? Pop a jumper on. And in the wider context — June so far: a warm month ending in heat and heavy thunderstorms. One day's weather is just that, of course, but the pattern's telling. And on that note, I'll say cheerio. Back again soon."
2020-06-06,BBCNEWS_20200606_183000_Weather_World,"Hiya, welcome to Weather World, grab a cuppa and settle in. I'm Matt. Well, it's Saturday the 06th of June, and there's a fair bit going on out there. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. Overall, expect rather a lot of cloud around across much of the country. Across the south east and the Midlands it'll feel on the cool side for the time of year. Worth knowing — you might want a light jacket first thing. Temperatures peaking near 16 degrees, warmest across north west England. Overnight, lows of about 9 degrees in towns and cities, a touch cooler in the countryside. Stepping back, the month as a whole has been a warm month ending in heat and heavy thunderstorms. Whatever you've got planned, it's worth a glance out the window first. Worth keeping an eye on as the summer unfolds. That's the latest picture — do wrap up or cool down as needed. Bye for now."
2020-06-07,BBCNEWS_20200607_183000_Weather_World,"Hello and a very warm welcome to Weather World. I'm Nina. It's Sunday the 07th of June, so let's see what's in store across the UK. The broad story is plenty of warm sunshine, pretty much wherever you are. For the Highlands, London and the home counties and nearby, the word is pleasantly warm. A lovely day to get outside if you can. Into the afternoon, East Anglia sees much the same, with highs around 21 degrees. Overnight, lows of about 14 degrees in towns and cities, a touch cooler in the countryside. Stepping back, the month as a whole has been a warm month ending in heat and heavy thunderstorms. Whatever you've got planned, it's worth a glance out the window first. And that's showing up in the day-to-day numbers. Right, that's me done. Look after yourselves out there."
2020-06-08,BBCNEWS_20200608_183000_Weather_World,"Hello, lovely to have your company on Weather World. I'm Nina. Coming up to Monday the 08th of June — here's how the next 24 hours are shaping up. Let's start with the headline — rather a lot of cloud around dominating the scene. If you're in north west England or over towards London and the home counties, expect it to feel on the cool side for the time of year. Whatever you've got planned, it's worth a glance out the window first. Temperatures peaking near 15 degrees, warmest across southern Scotland. Looking at the bigger trend, this June has been a warm month ending in heat and heavy thunderstorms. My garden's certainly not complaining about this one. Worth keeping an eye on as the summer unfolds. That's all from me — take care, and I'll see you next time."
2020-06-09,BBCNEWS_20200609_183000_Weather_World,"Well hello there, and a very good evening to you. I'm Carol — and it's Tuesday the 09th of June. I'll be honest, the forecast computers and I had words about this one. The broad story is thicker cloud and spells of rain, pretty much wherever you are. Across north west England and London and the home counties it'll feel damp and rather grey. Temperatures peaking near 16 degrees, warmest across north east England. Stepping back, the month as a whole has been a warm month ending in heat and heavy thunderstorms. I'll leave you there. Thanks for watching Weather World."
2020-06-10,BBCNEWS_20200610_183000_Weather_World,"Hello and a very warm welcome to Weather World. I'm Nina. It's Wednesday the 10th of June, so let's see what's in store across the UK. Let's start with the headline — sunshine and scattered showers dominating the scene. My garden's certainly not complaining about this one. The midlands and the south west get the brunt of it — changeable, warm in the brighter spells. By mid-afternoon we're looking at about 18 degrees in Wales. And in the wider context — June so far: a warm month ending in heat and heavy thunderstorms. One day's weather is just that, of course, but the pattern's telling. And that's your lot for now. Whatever you're up to, enjoy it."
